1;Teamlogo;Oranje Boven
2;Jasper Cillessen;Oranje Boven
3;Nathan Ake;Oranje Boven
4;Daley Blind;Oranje Boven
5;Virgil van Dijk ;Oranje Boven
6;Denzel Dumfries;Oranje Boven
7;Matthijs de Ligt;Oranje Boven
8;Frenkie de Jong;Oranje Boven
9;Marten de Roon;Oranje Boven
10;Kelvin Strootman;Oranje Boven
11;Georginio Wijnaldum;Oranje Boven
12;Donny van de Beek;Oranje Boven
13;Ryan Babel;Oranje Boven
14;Memphis Depay;Oranje Boven
15;Luuk de jong;Oranje Boven
16;Quincy Promes;Oranje Boven
17;Steven Bergwijn;Oranje Boven
18;Teamlogo;Oranje Leeuwinnen
19;Sari van Veenendaal;Oranje Leeuwinnen
20;Dominique Bloodworth;Oranje Leeuwinnen
21;Anouk Dekker;Oranje Leeuwinnen
22;Merel van Dongen;Oranje Leeuwinnen
23;Stefanie van de Gragt;Oranje Leeuwinnen
24;Desiree van Lunteren;Oranje Leeuwinnen
25;Liza van der Most;Oranje Leeuwinnen
26;Kika van Es;Oranje Leeuwinnen
27;Danielle van Donk;Oranje Leeuwinnen
28;Jackie Groenen;Oranje Leeuwinnen
29;Jill Roord;Oranje Leeuwinnen
30;Sherida Spitse;Oranje Leeuwinnen
31;Lineth Beerensteyn;Oranje Leeuwinnen
32;Vivianne Miedema;Oranje Leeuwinnen
33;Shanice van de Sanden;Oranje Leeuwinnen
34;Lieke Martens;Oranje Leeuwinnen
35;Clublogo;ADO Den Haag
36;Robert Zwinkels;ADO Den Haag
37;Milan van Ewijk;ADO Den Haag
38;Tom Beugelsdijk;ADO Den Haag
39;Shaquille Pinas;ADO Den Haag
40;Aaron Meijers;ADO Den Haag
41;John Goossens;ADO Den Haag
42;Danny Bakker;ADO Den Haag
43;Lex Immers;ADO Den Haag
44;Erik Falkenburg;ADO Den Haag
45;Tomas Necid;ADO Den Haag
46;Michiel Kramer;ADO Den Haag
47;Clublogo;Ajax
48;Kampioensschaal;Ajax
49;KNVB Beker;Ajax
50;Andre Onano;Ajax
51;Noussair Mazraoui;Ajax
52;Joel Veltman;Ajax
53;Daley Blind;Ajax
54;Nico Tagliafico;Ajax
55;Lisandro Martinez;Ajax
56;Donny van den Beek;Ajax
57;Hakim Ziyech;Ajax
58;David Neres;Ajax
59;Dusan Tadic;Ajax
60;Klaas Jan Huntelaar;Ajax
61;Clublogo;AZ
62;Marco Bizot;AZ
63;Jonas Svensson;AZ
64;Ron Vlaar;AZ
65;Stijn Wuytens;AZ
66;Owen Wijndal;AZ
67;Fredrik Midtsjo;AZ
68;Teun Koopmeiners;AZ
69;Dani de Wit;AZ
70;Calvin Stengs;AZ
71;Myron Boadu;AZ
72;Oussama Idrissi;AZ
73;Clublogo;FC Emmen
74;Dennis Telgenkamp;FC Emmen
75;Glenn Bijl;FC Emmen
76;Keziah Veendorp;FC Emmen
77;Nick Bakker;FC Emmen
78;Lorenzo Burnet;FC Emmen
79;Michael Chacon;FC Emmen
80;Michael de Leeuw;FC Emmen
81;Filip Ugrinic;FC Emmen
82;Anco Jansen;FC Emmen
83;Nikolai Laursen;FC Emmen
84;Marko Kolar;FC Emmen
85;Clublogo;Feyenoord
86;Kenneth Vermeer;Feyenoord
87;Rick Karsdorp;Feyenoord
88;Marcos Senesi;Feyenoord
89;Edgar Miguel le;Feyenoord
90;Ridgeciano Haps;Feyenoord
91;Leroy Fer;Feyenoord
92;Orkun Kokcu;Feyenoord
93;Jens Toornstra;Feyenoord
94;Steven Berghuis;Feyenoord
95;Nicolai Jorgensen;Feyenoord
96;Sam Larsson;Feyenoord
97;Clublogo;Fortuna
98;Alexei Koselev;Fortuna
99;Felix Passlack;Fortuna
100;Branislav Ninaj;Fortuna
101;Martin Angha;Fortuna
102;Michael Pinto;Fortuna
103;Jorrit Smeets;Fortuna
104;Tesfaldet Tekie;Fortuna
105;Amadou Ciss;Fortuna
106;Mark Diemers;Fortuna
107;Vitalie Damashkan;Fortuna
108;Bassala Sambou;Fortuna
109;Clublogo;FC Groningen
110;Sergio Padt;FC Groningen
111;Deyovaisio Zeefuik;FC Groningen
112;Mike te Wierik;FC Groningen
113;Ko Itakura;FC Groningen
114;Ahmed el Messaoudi;FC Groningen
115;Azor Matusiwa;FC Groningen
116;Ramon Pascal Lundqvist;FC Groningen
117;Ajdin Hrustic;FC Groningen
118;Mo El Hankouri;FC Groningen
119;Kaj Sierhuis;FC Groningen
120;Charlison Benschop;FC Groningen
121;Clublogo;Heerenveen
122;Warner Hahn;Heerenveen
123;Sherel Floranus;Heerenveen
124;Ibrahim Dresevic;Heerenveen
125;Sven Botman;Heerenveen
126;Lucas Woudenberg;Heerenveen
127;Hicham Faik;Heerenveen
128;Jordy Bruijn;Heerenveen
129;Rodney Kongolo;Heerenveen
130;Chidera Ejuke;Heerenveen
131;Jens Odgaard;Heerenveen
132;Mitchell van Bergen;Heerenveen
133;Clublogo;Heracles
134;Janis Blaswich;Heracles
135;Tim Breukers;Heracles
136;Lennart Czyborra;Heracles
137;Robin Propper;Heracles
138;Mats Knoester;Heracles
139;Mohammed Osman;Heracles
140;Orestis Kiomourtzoglou;Heracles
141;Alexander Merkel;Heracles
142;Mauro Junior;Heracles
143;Cyriel Dessers;Heracles
144;Silvester van der Water;Heracles
145;Clublogo;PEC Zwolle
146;Xavier Mous;PEC Zwolle
147;Gustavo Hamer;PEC Zwolle
148;Bram van Polen;PEC Zwolle
149;Kenneth Paal;PEC Zwolle
150;Illias Bel Hassani;PEC Zwolle
151;Pelle Clement;PEC Zwolle
152;Mustafa Saymak;PEC Zwolle
153;Thomas Bruns;PEC Zwolle
154;Dennis Johnson;PEC Zwolle
155;Reze Ghoochannejhad;PEC Zwolle
156;Lennart Thy;PEC Zwolle
157;Clublogo;PSV
158;Jeroen Zoet;PSV
159;Denzel Dumfries;PSV
160;Timo Baumgartl;PSV
161;Nick Viergever;PSV
162;Erick Gutierrez;PSV
163;Pablo Rosario;PSV
164;Mohamed Ihattaren;PSV
165;Ritsh Doan;PSV
166;Bruma;PSV
167;Donyell Malen;PSV
168;Steven Bergwijn;PSV
169;Clublogo;RKC
170;Etienne Vaessen;RKC
171;Jurien Gaari;RKC
172;Melle Meulensteen;RKC
173;Hannes Delcroix;RKC
174;Paul Quasten;RKC
175;Daan Rienstra;RKC
176;Anas Tahiri;RKC
177;Stijn Spierings;RKC
178;Mario Bilate;RKC
179;Dylan Vente*;RKC
180;Stanley Elbers*;RKC
181;Clublogo;Sparta
182;Tim Coremans;Sparta
183;Dirk Abels;Sparta
184;Bart Vriends;Sparta
185;Jurgen Mattheij;Sparta
186;Lassana Faye;Sparta
187;Adil Auassar;Sparta
188;Abdou Harroui;Sparta
189;Bryan Smeets;Sparta
190;Mohamed Rayhi;Sparta
191;Ragnar Ache;Sparta
192;Lars Veldwijk;Sparta
193;Clublogo;FC Twente
194;Joel Drommel;FC Twente
195;Paul Verhaegh;FC Twente
196;Peet Bijen;FC Twente
197;Xandro Schenk;FC Twente
198;Lindon Selahi;FC Twente
199;Javier Espinosa;FC Twente
200;Wout Brama;FC Twente
201;Haris Vuckic;FC Twente
202;Oriol Busquest;FC Twente
203;Keito Nakamura;FC Twente
204;Aitor Cantalapiedra;FC Twente
205;Clublogo;FC Utrecht
206;Maarten Paes;FC Utrecht
207;Sean Klaiber;FC Utrecht
208;Justin Hoogma;FC Utrecht
209;Willem Janssen;FC Utrecht
210;Mark van der Maarel;FC Utrecht
211;Adam Maher;FC Utrecht
212;Simon Gustafson;FC Utrecht
213;Bart Ramselaar;FC Utrecht
214;Sander van der Streek;FC Utrecht
215;Gyrano Kerk;FC Utrecht
216;Adrian Dalmau;FC Utrecht
217;Clublogo;Vitesse
218;Remko Pasveer;Vitesse
219;Julian Lelieveld;Vitesse
220;Armando Obispo;Vitesse
221;Danilho Doekjo;Vitesse
222;Max Clark;Vitesse
223;Matus Bero;Vitesse
224;Riechedly Bazoer;Vitesse
225;Thomas Buitink;Vitesse
226;Tim Maravz;Vitesse
227;Bryan Linssen;Vitesse
228;Oussama Tannane;Vitesse
229;Clublogo;VVV-Venlo
230;Thorsten Kirschbaum;VVV-Venlo
231;Tobias Pachonik;VVV-Venlo
232;Nils Roseler;VVV-Venlo
233;Christian Kum;VVV-Venlo
234;Roel Janssen;VVV-Venlo
235;Danny Post;VVV-Venlo
236;Peter van Ooijen;VVV-Venlo
237;Lee Cattermole;VVV-Venlo
238;Johnatan Opoku;VVV-Venlo
239;Evert Linthorst;VVV-Venlo
240;Elia Soriano;VVV-Venlo
241;Clublogo;Willem II
242;Timon Wellenreuther;Willem II
243;Freek Heerkens;Willem II
244;Sebastian Holmen;Willem II
245;Jordens Peters;Willem II
246;Damil Dankerlui;Willem II
247;Pol Llonch;Willem II
248;Driess Saddiki;Willem II
249;Che Nunnely;Willem II
250;Vangelis Pavlidis;Willem II
251;Mats Kohlert;Willem II
252;Marios Vrousai;Willem II
